human,reply
Namastae sir.,Namastae sir/mam. How can we help you?
My internet is not working well for a past few days.,Please mention your username and the number sir/mam.
My username is rukesh_home.,How far are you from your router sir/mam?
I am next to my router.,How many lights are glowing in your router?
"I have got the black nokia router. The lights glowing are AUTH,POWER,LINK, WLAN.",Can you please turn off the router and check after five minutes.
Sure sir/mam.  Thanks a lot.,welcome sir
"Hello, worldlink.",Hello sir/mam. How can we assist you?
Could you please mention the Customer Accounts number?,Sure sir/mam. The account number is 9801523053.
Thank you so much dear. Have a beautiful day.,Welcome and same to you sir/mam.
Hello.,Hello sir/mam. How can we assist you?
Please mention the Accounts number?,Sure sir/mam. The account number is 9801523053.
Thank you.,Welcome sir/mam.
"Hello, Provide me the account number.",Hello sir/mam. The account number is 9801523053.
"Hey, worldlink.",Hello sir. How can we assist you?
Please mention the Accounts number?,Sure sir. The account number is 9801523053.
Thank you.,Welcome sir. Have a great day.
oi worldlink.,Hello sir. How can we assist you?
Tero tauko.,Sorry sir.
Provide me the account number.,The account number is 9801523053.
"Hi, worldlink.",Hello sir. How can we assist you?
Could you please mention your name?,"Sorry sir, We are not allowed to provide our information. Please mention your query."
Get lost.,Do you have any query regarding the internet connection?
Have a gud day.,We loved to provide you the facility sir.
Hey Internet service Provider.,Hello sir. How can we assist you?
Could you please mention the sales department number?,Sure sir. The sales number is 9801523052.
Thank you so much dear. Have a beautiful day.,Welcome and same to you sir.
"Hey, worldink.",Hello sir. How can we help you?
Could mention the sales department number?,Sure sir. The sales number is 9801523052.
Hey Internet service Provider.,Hello sir. How can we assist you?
Could you please mention the sales department number?,Sure sir. The sales number is 9801523052.
Thank you so much dear. Have a beautiful day.,Welcome and same to you sir.
oi worldlink.,Hello sir. How can we assist you?
Tero tauko.,Sorry sir.
Provide me the sales number.,The account number is 9801523052.
"Hi, worldlink.",Hello sir. How can we assist you?
Could you please mention your name?,"Sorry sir, We are not allowed to provide our information. Please mention your query."
Get lost.,Do you have any query regarding the internet connection?
Provide be the sales number.,Sure sir. The sales number is 9801523052.
oi.,Hello sir. How can we assist you?
Could you please mention the sales department number?,Sure sir. The sales number is 9801523052.
Thank you so much dear. Have a beautiful day.,Welcome and same to you sir.
Provide me the sales number.,Hello sir. The sales number is 9801523052.
Namastae sir.,Namastae sir. How can we assist you?
Provide me the advace connection number.,Please elaborate your query sir.
I want a new connection. Please mention the sales number.,The sales number is 9801523052.
Thanks a lot.,welcome sir
Namastae.,Namastae sir. How can we help you?
Do you have the Hosting services?,"Sure sir, We do have the hosting services. Please contact 9851044885 for the hosting."
Thanks a lot. Could you please mention your name.,"Sorry sir, We are not allowed to provide our information."
Okay have a great day.,Thank you sir.
"Hello, worldlink.",Hello sir. How can we assist you?
Could you please mention the Hosting department number?,Sure sir. The web hosting number is 9851044885.
Thank you so much dear. Have a beautiful day.,Welcome and same to you sir.
Hey Internet service Provider.,Hello sir. How can we assist you?
Could you please mention the  Web Hosting department number?,Sure sir. The number is 9851044885.
Thank you.,Welcome sir.
